"","PlayerName","Season","PuttingAverage","DrivingDistance","DrivingAccuracy","ScoringAvg","Scrambling","OnePutts","TwoPutts","ThreePutts","AvgOfficialWGR","ProximityToHole","GreensFringeInReg","SandSave","OfficialMoney"
"1","Brandt Snedeker",2010,1.71,277.1,64.27,70.28,29.79,703,845,32,1.69,406,72.58,59.18,1602689
"2","Aaron Baddeley",2010,1.735,298.9,56.65,70.61,30.89,684,952,30,0.68,453,78,54.82,879317
"3","Brian Gay",2010,1.735,266.4,74,70.49,41.94,775,936,33,1.49,394,71.16,59.26,1521662
"4","Carl Pettersson",2010,1.736,282.1,62.82,70.33,29.91,686,900,28,1.41,411,76.07,62.94,1934464
"5","J.P. Hayes",2010,1.738,281,64.91,70.52,21.33,527,775,30,0.8,419,75.92,54.26,862522
"6","Zach Johnson",2010,1.739,279.7,71.24,70.59,31.17,663,927,29,3.76,413,75.38,56.29,2916993
"7","Matt Kuchar",2010,1.739,286.9,67.89,69.43,32,688,970,34,4.9,417,79.38,56.2,4910476
"8","Chris Couch",2010,1.742,292.4,65.87,70.36,25,465,669,32,0.87,433,72.61,47.79,888146
"9","Jeff Quinney",2010,1.742,273.3,70.34,70.44,37.38,655,856,42,0.48,398,73.97,50,605865
"10","Ryan Palmer",2010,1.744,295.8,57.23,70.56,19.72,608,849,37,2.27,419,76.08,52.41,2985296
"11","Michael Sim",2010,1.745,283.3,63.35,70.48,34.29,467,639,22,1.82,429,75.36,51.58,1338926
"12","Steve Stricker",2010,1.746,282.9,68.5,69.78,54.55,519,736,25,6.39,390,75.86,54.84,4190235
"13","Greg Chalmers",2010,1.748,275.5,59.8,70.27,29.67,703,924,34,1.16,420,73.19,57.53,989414
"14","Tom Gillis",2010,1.749,288.7,68.54,70.12,29.47,705,950,60,1.36,417,73.22,45.06,1166146
"15","Matt Bettencourt",2010,1.75,294,57.16,71.38,30.77,640,803,36,0.71,441,73.75,52.26,855900
"16","Padraig Harrington",2010,1.75,292.1,56.7,70.79,34.62,419,562,14,3.71,417,69.14,53.7,1381452
"17","Chad Collins",2010,1.751,275.8,60.27,70.07,24.77,600,781,24,0.87,439,76.92,60.43,815961
"18","Luke Donald",2010,1.751,277,62.36,70.25,32.14,503,686,20,5.8,402,74.03,66.39,3665234
"19","Brad Faxon",2010,1.751,271.4,59.47,72.71,23.91,388,549,27,NA,437,69.28,37.5,55482
"20","Webb Simpson",2010,1.751,285.4,60.47,70.24,28.85,709,993,39,0.82,411,76.18,55.06,972961
"21","Ben Crane",2010,1.752,282.3,71.13,70.3,31.03,582,823,52,3.11,399,75.31,52.7,2841500
"22","Charley Hoffman",2010,1.752,298.2,61.59,69.93,25.86,604,832,39,2.55,415,77.81,50,2559645
"23","Kevin Na",2010,1.752,278.6,66.46,70.04,39.74,687,923,40,2.11,409,76.16,54.81,2021814
"24","Geoff Ogilvy",2010,1.752,287,57.94,70.8,23.81,430,607,35,3.69,404,78.53,57.28,2393045
"25","Charlie Wi",2010,1.752,281.2,64.19,70.05,39,730,920,47,1.28,416,77.59,58.27,1568492
"26","Paul Casey",2010,1.753,294.2,61.31,69.93,39.47,409,601,25,6.14,415,80.75,47.87,3613193
"27","Matt Jones",2010,1.753,293.3,57.07,70.36,34.07,655,889,39,1.33,452,79.18,58.68,1215743
"28","Jeff Overton",2010,1.753,297.3,55.44,70.34,32,612,856,48,2.53,425,79.46,51.09,3456355
"29","Paul Stankowski",2010,1.753,290.3,65.38,69.79,35.09,369,572,24,0.44,411,78.9,51.95,666590
"30","David Toms",2010,1.753,281.3,71.88,70.18,29.82,622,854,42,1.85,392,74.5,50,1590997
"31","Jason Bohn",2010,1.755,279.8,66.89,70.64,25.93,570,888,37,1.26,405,76.47,40.87,1904762
"32","Ryuji Imada",2010,1.755,278.7,63.11,70.43,30.3,694,872,38,0.91,440,74.24,57.94,1028868
"33","Justin Leonard",2010,1.755,277.8,69.46,70.61,32.41,622,897,46,1.37,410,75.09,47.73,1026445
"34","Kevin Streelman",2010,1.755,290.3,65.64,70.48,23.17,611,875,45,1.25,415,74.84,50.34,1472349
"35","Tim Clark",2010,1.756,272.2,73.72,70.31,29.79,611,869,35,3.58,363,73.14,61.59,3530002
"36","Troy Merritt",2010,1.758,288.2,59.37,71.02,21.35,607,838,50,0.46,432,75.5,49.66,786976
"37","Brendon de Jonge",2010,1.759,286.9,65.51,70.14,33.33,701,NA,43,1.45,390,79.59,48.81,2167978
"38","Paul Goydos",2010,1.759,273.6,70.58,71.35,31.51,555,779,50,1.14,400,74.42,39.1,1121250
"39","Scott Verplank",2010,1.759,278.6,68.16,71.04,30.51,536,723,39,2,410,72,48.32,1653190
"40","Scott Piercy",2010,1.76,296.8,56.03,70.65,20.56,605,905,49,0.49,444,80.23,45,676431
"41","Justin Rose",2010,1.76,287.8,65.17,69.92,32.65,567,785,31,3.47,405,74.54,58.78,3603331
"42","Shaun Micheel",2010,1.761,283.2,62.67,70.57,22.81,455,615,33,1,426,72.98,46.84,1025500
"43","Pat Perez",2010,1.761,287.1,65.23,70.04,31.46,661,894,51,0.92,404,81.22,61.97,947587
"44","Mike Weir",2010,1.761,273.9,53.83,71.77,33.8,436,545,25,1.09,425,72.96,59.48,559092
"45","Phil Mickelson",2010,1.762,299.1,52.66,70.34,31.51,546,762,38,7.01,406,75.53,53.62,3821733
"46","George McNeill",2010,1.763,293.4,54.34,71,27.47,545,806,53,0.78,437,76.04,50.36,664854
"47","Bubba Watson",2010,1.763,309.8,55.67,70.21,33.33,516,814,40,3.46,431,77.3,47.01,3198998
"48","Dean Wilson",2010,1.763,281.6,67.37,69.69,29.03,349,491,17,0.67,395,76.89,46.97,832640
"49","Charles Howell III",2010,1.764,294.3,54.58,69.96,37.89,681,NA,30,1.15,437,80.03,50,1482211
"50","Nick Watney",2010,1.764,296.5,62.63,70.41,34.43,604,911,47,3.26,412,77.32,43.26,2536713
"51","Y.E. Yang",2010,1.764,288.6,64.31,71.17,35.29,487,719,34,2.97,414,74.61,51.15,1301726
"52","Spencer Levin",2010,1.765,280.6,65.12,70.09,22.22,704,NA,46,0.74,397,79.11,44.7,1199671
"53","Retief Goosen",2010,1.766,291.4,64.79,69.96,38.3,500,734,22,4.22,421,78.79,54.62,3218088
"54","Freddie Jacobson",2010,1.766,283.1,62.16,70.18,29.47,599,839,40,1.32,411,78.64,50,1666252
"55","Bryce Molder",2010,1.766,278,63.16,70.35,40.19,579,798,40,1.72,424,76.24,54.01,1428438
"56","Jim Furyk",2010,1.767,276,71.01,70.23,46.34,528,751,31,6.44,405,75.51,48.04,4809622
"57","Dustin Johnson",2010,1.767,308.5,56.35,70.46,22.58,565,843,51,4.68,435,80.83,44.78,4473121
"58","Vaughn Taylor",2010,1.767,284.4,68.26,70.56,24.68,585,921,42,1.46,410,77.42,50.96,1838861
"59","Rich Barcelo",2010,1.768,287.6,52.8,71.69,32.35,445,664,27,0.23,434,76.43,48.94,188891
"60","Chris DiMarco",2010,1.768,279,70.13,70.36,40.51,585,875,38,0.31,413,76.99,50.37,409205
"61","Ernie Els",2010,1.768,288.4,60.16,70.37,34.55,485,727,30,4.98,434,79.22,48.44,4558861
"62","Ryan Moore",2010,1.768,289.7,67.99,70.68,31.91,560,805,39,2.82,417,75.99,45.8,2374823
"63","Alex Prugh",2010,1.768,295.7,58.4,70.51,22,579,916,41,0.76,427,79.83,52,1272606
"64","Rory Sabbatini",2010,1.768,289.1,60.28,71.17,32,545,752,59,1.54,437,76.79,58.94,1546808
"65","Jerod Turner",2010,1.768,279,61.66,72.13,21.05,330,463,26,0.24,459,67.26,44.44,91343
"66","Steve Flesch",2010,1.769,277.4,66.02,71.62,24.68,514,760,42,0.37,424,71.98,47.83,440374
"67","Blake Adams",2010,1.77,291.3,66.84,70.69,30.14,559,850,45,0.92,434,75.85,46.4,963592
"68","Robert Allenby",2010,1.77,289.1,64.75,70.53,27.27,493,769,46,3.76,427,77.37,55.56,2974997
"69","J.B. Holmes",2010,1.77,307.2,54.45,70.22,27.16,732,986,58,1.97,457,76.05,52.83,2386247
"70","Steve Marino",2010,1.77,290.6,61.96,70.99,31.82,545,847,51,1.45,434,78.93,41.67,1479239
"71","Jimmy Walker",2010,1.77,292.9,51.29,70.77,33.71,548,804,39,0.7,431,77.48,43.08,937986
"72","Stephen Ames",2010,1.771,282,66.47,70.51,32.91,507,775,32,1.37,418,77.26,57.26,916527
"73","David Duval",2010,1.772,286.9,57.08,71.59,20.27,462,735,30,0.83,412,76.64,44.21,919584
"74","Matt Every",2010,1.772,290.9,62.06,70.68,26.79,412,578,34,0.61,424,77.96,43.27,456847
"75","Michael Connell",2010,1.773,281.3,63.4,70.51,34.07,580,814,49,0.54,408,76.99,52.07,846459
"76","Steve Elkington",2010,1.773,289.2,68.01,70.03,36.84,465,722,23,0.91,431,78.28,50.55,955083
"77","K.J. Choi",2010,1.774,283.1,65.99,70.39,34.55,553,793,47,2.77,388,77.78,59.06,2199961
"78","Bill Haas",2010,1.774,293.3,64.17,70.22,22.45,582,927,43,2.26,413,77.28,44.52,2905136
"79","Chris Riley",2010,1.775,278.3,68.7,70.04,36.07,470,687,33,0.76,409,77.22,56.86,1001581
"80","Steve Wheatcroft",2010,1.775,287.1,64.12,71.57,21.79,462,677,40,0.45,431,71.94,53.39,408595
"81","Ricky Barnes",2010,1.776,285.5,58.37,70.47,26.51,706,NA,58,1.82,412,78.21,54.34,1835195
